"txnidx","date","description","account","amount","total"
"3806","2017/05/02","10:23-10:54","(Commerzbank)","0.52h","0.52h"
"3811","2017/05/03","09:30-12:50","(Commerzbank)","3.34h","3.86h"
"3812","2017/05/03","13:20-18:01","(Commerzbank)","4.68h","8.54h"
"3820","2017/05/05","15:30-17:10","(Commerzbank)","1.67h","10.21h"
"3825","2017/05/08","09:30-12:30","(Commerzbank)","3.00h","13.21h"
"3826","2017/05/08","13:15-18:00","(Commerzbank)","4.75h","17.96h"
"3828","2017/05/09","08:22-09:03","(Commerzbank)","0.68h","18.64h"
"3830","2017/05/09","10:42-10:55","(Commerzbank)","0.22h","18.86h"
"3833","2017/05/09","14:23-17:49","(Commerzbank)","3.42h","22.28h"
"3838","2017/05/10","15:03-16:49","(Commerzbank)","1.77h","24.05h"
"3855","2017/05/12","14:21-17:19","(Commerzbank)","2.97h","27.02h"
"3862","2017/05/15","13:40-16:34","(Commerzbank)","2.90h","29.92h"
"3886","2017/05/19","09:35-18:00","(Commerzbank)","8.41h","38.33h"
"3897","2017/05/23","SpectralCAT","(Commerzbank)","2.73h","41.06h"
"3899","2017/05/23","SpectralCAT","(Commerzbank)","0.47h","41.53h"
"3900","2017/05/23","SpectralCAT","(Commerzbank)","0.62h","42.14h"
"3903","2017/05/24","Kantwert <-> RMDB","(Commerzbank)","0.36h","42.50h"
"3915","2017/05/26","09:55-18:00","(Commerzbank)","8.07h","50.57h"